PAN_no,income,cibil_score,bank_account_number,card_type
VCar3403m,679499,829,BBAX40198334323751,debit
OOIZ3331G,975588,680,LMKC50936380657598,
zOXf3845i,847356,823,VMPY03287405037327,
rDoC5780g,749582,644,HOFE35377820842744,credit
EAKQ9851y,553264,745,JUKX22858769824737,Credit
xTwt8064t,493462,622,VXGH38614551426436,credit
QSIY2157o,560427,729,QOMW35323948492810,Debit
sbun7926T,647616,713,LYRN49639657198944,credit
BHHx2739N,563049,778,ODSR26581296692112,Debit
JnOZ3428K,568965,712,GEIA35295418382808,Debit
NMDR0397R,1174544,653,XIRU17830408111502,
Sxbp8331k,779345,667,LNWA34228069897494,credit
WLRA1985w,710183,640,FXYE50339795521144,credit
vazB5102B,776111,810,DOPL69876497285396,debit
PDot8606F,526176,636,VEYB36366524499499,credit
KKRI6714B,938479,805,VDCT69391908446248,Credit
wUNf3289U,613393,612,XYHU38093643086237,Debit
ltjE0385y,719429,655,TARZ95783873569489,
wKWz2215p,910683,722,YXLK11799812638085,credit
RAoM7439M,,726,MUXM90891676971067,Credit
samJ4959K,614460,796,PKIY75035192500829,debit
xBXQ5546P,825721,609,CEHB93333923336655,debit
dGFn5317c,749688,663,OSEE52044732108553,credit
QjVZ0210D,334312,637,NEJG19003817989429,Credit
RVkw3663V,732661,746,TCCN01446692052379,Credit
kUns6732G,772103,691,XYFQ32793311683719,
MeBQ7493z,368491,622,JAZH64088227706621,credit
cMat0191J,1007434,721,KSOF92003604543654,Debit
VCnV8660j,427049,819,QRMB63790554034381,
XXJK6447O,360180,602,FIHF52970881719159,debit
NxOr3785f,,782,RKFE58816808482568,debit
QbMm7609F,973000,721,FTVS53904183033400,Debit
OJga1645s,772214,770,KZYL18858181317158,
ABKt5734q,533577,705,BFXH94983168996214,Debit
CXJd7338V,1073511,713,XLHA74042376655680,credit
bQvy5289B,559111,837,TQFD99375572310374,
CIZt5183V,520192,848,MURL68840961799006,debit
HWIG7719p,745376,781,LIRB11708326269673,debit
wcMz7434G,581705,843,PCHY08434233975790,credit
czkV5938u,1006628,717,NQTY42947194018129,Debit
GKPL0230R,704879,689,VAVC61134155914149,Debit
Okqo6469t,983314,746,MUCF15131362659382,Credit
zMvl3548h,631850,694,AYDX93521110865366,
cpGC2156e,817867,727,DXTU50527179829918,Credit
nvtA0880N,,718,JQJJ03542667987076,Credit
tLZd4660n,877553,600,XXTL26817552546959,debit
rDBV7647L,824469,679,CSLF21719714643674,Credit
llhZ1161v,626854,734,YZUE86807801568122,
SuwJ0396Y,540804,770,MBPS72985220973823,debit
OccY6819t,620980,661,JQVG22573473517802,
onnx1589i,736825,832,DRMT06975222076517,Credit
goGu8660u,792016,643,ZXEU81591717522959,credit
vYEm0029Y,774011,624,EXMX77700810622043,debit
elsZ8010w,659190,693,NNWZ16626697583621,Credit
xJdy7181V,576004,761,OOOI45489176966558,
KXLh1949m,825627,708,QOBU12273430564869,credit
vhKg6505Q,467970,648,RXTG74048511091643,Credit
ICfG9396B,704219,635,XPFG79953581667396,debit
IaPt7170N,645039,831,SYWJ04293865404765,debit
WJTY2932x,369742,782,ZDBC37733341381570,Debit
BfjL0719o,920046,663,KDNZ46315443522502,credit
rKwk3213i,1061994,713,HWYM30111929565741,
QdnE0940R,1038999,662,XJOB88623237367676,Credit
HJwy1775j,739774,771,MVZG36671177300138,Debit
yzge7480S,1006829,757,OUYZ02644363455596,credit
Pody2620L,1001751,616,IQXR19064346933378,Credit
FRfk5165h,566836,644,PKWI43156565226592,debit
PeIf1860h,677157,785,WZNX00770878088603,Debit
omdl2399u,454507,820,JLJB96512506200482,debit
LUid5987B,789181,703,GRIO41298257831670,Debit
QvMB2314J,283200,829,LGYW70116232718533,debit
LTyO8910g,645271,711,DHPA25731341086718,Credit
swbw9680k,761262,638,HANX24080091536066,debit
nYBa1120H,210446,699,GIUP79310084687393,
SJXa1641q,811017,762,VSPU19264861166632,credit
SeSN4608F,544290,815,MQRQ16608823214184,credit
prBK1408u,786261,752,QOSY94630772247069,Credit
bzaL4495R,624519,610,DAHN29948630283146,credit
iSDq5806v,1079561,723,MKPH54453716654925,credit
oRNO6698I,617130,826,BYAP70935527180096,credit
qjMr5907f,991320,643,LDCG51827256693773,credit
sNwD4290P,618189,696,ENFZ79609336931533,credit
mRWO7625I,884409,799,QALE67481555428481,credit
MfMZ4766w,837967,648,HQCD69603656287247,Debit
sFiH3016O,1028534,818,ZNZL01258547226556,debit
RTyH6174u,800311,839,CXLS88812167565434,Debit
iMZC9026y,752901,629,TUHP10502950919673,Credit
iXUI1166z,829578,847,BVXJ53254763847809,Debit
MHir6034Z,931868,615,SUEE71805361340457,Debit
EPch6896z,362315,763,ZJWH57287305163257,Debit
VFRs5627c,853227,708,KCMV17822070512335,Debit
infT2157j,888179,728,YYRI85649699187133,
mvjv5242V,650994,631,LGZK01873390263975,
uVHN6008t,748111,768,YCRY15541605384926,credit
lgxd9617v,411551,682,DXUX47546301816324,Credit
vmXf2053m,751719,850,UMWS49207962106913,Debit
AbvN1845N,689270,790,XAPE04662775239349,
jiUT3423T,532491,679,WLRH07244064612420,
jLrq1091V,440029,812,RAON63012491289675,debit
rbZI3141Y,1024005,664,ARVN49631895560223,debit
SZmR7834O,722028,770,HPPD84534216475867,credit
jStc7798W,866791,673,DIUC84573881391419,Debit
Hjof2116n,734147,768,XOND92057767205490,credit
fGgP7998a,972946,798,OFWU36189413693011,credit
tkAw0962D,434294,671,WPVX80963436036033,debit
RvxG8963E,591763,788,IMYR42254803126046,credit
AnXS7452t,827438,846,FQFV35185045822177,
mVWF8882O,986515,668,UMFS38763956861848,
VliO2544u,662354,769,UEEH29910678184634,credit
DHRJ3511W,646986,689,KPXS39504674525368,debit
cpqv2805x,939629,768,OAWE03136585295663,Credit
GEka3882q,285961,636,ZLHJ41177840615580,
yyTc7676I,940346,833,WNJN29393312181309,Debit
tuTS2887G,847995,767,HTGZ35645016649399,Credit
OEun7120e,800203,760,XWRW85086141080575,debit
Mmgx3685X,336283,798,ICTR77969758037139,debit
QPcE2621s,812533,790,DDWI77211548905669,debit
aOha1443Z,901167,815,CXQZ54501289893516,Debit
wjLY6144M,678651,767,OHTI21483862845513,Debit
trnn6457e,287571,790,YLCL04994479050249,debit
ZhRx9971o,851798,649,VXQD28706985789770,Credit
CkNB3349N,726761,712,LATR04813321849940,credit
WcVn7010Y,937028,810,SFMZ69837128287913,
MMFx4344V,709482,760,EYYQ20862403717860,Credit
OeUH8586H,820090,709,SJBE66058544231495,Credit
zdTZ8178i,733766,828,LOJW90843996896695,Credit
jFMq1599n,747826,678,HAZP12560933590931,Debit
iFsL7638c,959949,834,KXYY13660206771553,debit
kloM3312u,829002,700,YDGH48877067523401,debit
asCn4807R,898552,742,AHWN90714886161193,Credit
ZzJD1483t,404078,658,BTBV97118072545686,Credit
aDbo7774z,967538,627,LDON69547345254596,debit
aaRC6656y,748050,743,CJEZ33569484789149,Credit
hlYR2282P,1085118,751,ETWW93429987796991,
nGAI8219k,906162,726,TXRU09870982406236,credit
iBqT7847Y,,630,BENE86392683994807,debit
atUX3933x,466389,636,IVEL32229520852662,Credit
QWcz9692z,974547,689,SYLP85934836154308,credit
wogl6048m,843643,805,OMDV77949293399541,debit
HZUr4435L,790399,627,LQUU92501640422169,Debit
QtZB8118w,807629,700,IGJW31926828396702,
hbyV1242p,,811,VHTS57598426403194,Credit
WTbt7817J,,825,FPJG30464470271186,Credit
gfSA3648U,629780,695,HJDW00634798384769,Credit
VJZO5955T,703639,805,IMTI46225053156371,
eNpF5942K,692843,708,CMTR13139172391898,debit
mSzv3136K,90952,689,TKID23053611357443,
DBHF7276E,515742,658,COQF84344176807261,debit
xYJB7593e,1025570,677,QGCC01664373318119,Credit
qMeL3417w,561859,806,TKWO41690440880306,
PIZt3808l,456618,791,SJUJ57658868512947,Debit
mMMa6723R,488527,664,YRYE65968182876861,Credit
bcge7615f,889499,667,QIWV31330288932806,
tHat3915s,,820,MERL24448264129309,credit
FNkW2364e,599203,611,CAZB44658597252094,Credit
faUH4990z,743658,749,LVCO00076401797834,Credit
TMbt1647O,549333,638,QNUW01889941226005,Credit
EoHQ9915b,819773,801,QMWJ58880611653302,Debit
yDQo6799y,584690,653,SZLC05488373203196,debit
Rzhc7209Z,1463397,602,NBCF28094768611570,credit
BtoR2372l,843660,824,PXNP72513846541354,Debit
KKCk0586r,562827,630,BLSK81521216744504,
QWPx5971x,880522,798,ABEL60770115295739,Credit
XFDa7932h,472474,658,DUUS96622675948740,credit
gDRF1549n,578160,827,VZQL16772858065352,debit
BGvA2609G,748588,642,IGIJ28158606314888,credit
WecW8886H,768769,780,VSAV63992816429507,Credit
wGyE5973L,787280,770,JWPN74695521582300,
rrFd4336k,937877,782,TQLS38497914180580,debit
zFQB6327Z,797848,725,LWHD05540501309791,Credit
VvHC5964P,462364,841,QILN59547577794749,debit
LOqC6694V,488453,603,GADT64875404740732,
rCqu1553P,576174,728,IKNE43188342150712,debit
XxpC0240F,492915,786,IHHE89936584445526,debit
UrRV2908H,657297,748,NVXQ48917250315936,credit
PNqv9653b,579312,784,EIVZ98035143260392,
JcXE3754H,732343,762,RPBC98070766325384,credit
nmUI0538x,707787,655,BYJX13082859289450,credit
UMhp6932A,916249,609,USUJ39091716243447,credit
cSrZ9648X,1091088,815,INFU17730650747124,Credit
ndZr0737f,835387,843,JVYR14901059510942,Credit
lZTq5063b,594358,817,WDRG28601287190098,debit
AxHo5102I,958644,814,OSQR83466563679446,Credit
mszD7963r,530569,785,YBMQ58049677242366,debit
Vcpn6466i,530414,611,BRQX60947982669614,credit
Eqhv7399M,531027,714,DMSZ75677264472609,
edfb2094l,793536,620,TIZR68969552089002,Debit
ZIhR7607M,744649,673,INLR17449980715936,credit
HqLD5164E,958814,637,HQAZ76395415135775,
mpbB9738f,641285,675,USIN71778241099442,credit
CPxr4435T,540446,678,NKCW92454282621209,debit
vbZw7893Q,540769,798,WBYB49103360805119,
WDbU2602z,936364,832,KEHW33032442580617,Debit
WEdE8756f,546279,768,EBUT44069979847768,debit
lpUz8129g,953312,716,ZYIB15971090578291,debit
mFDq3912x,875193,835,SBAF05714130980473,debit
RgSV9984n,886841,700,JODO95137069340894,credit
CavS3768G,586689,625,SIAC15162892426731,credit
WcOZ0791W,716364,717,PDBQ91328379958608,credit
BrcF6510c,504362,823,OCEK87093257095443,Credit
RPtC7838H,448090,719,HVVC14785037786591,
oqHX4830w,,605,MEEE20155672796813,Debit
QsSR7365a,364470,784,EHBD05675880775969,Credit
ElGd4492N,672721,665,XBPM55161356461010,debit
JGpY0317Q,49487,681,HATZ65863125075850,
BFVH6431u,467996,736,VFIN39042037406489,Debit
rcJJ9844Q,695951,840,WLOO72987006594840,debit
bmlO9593c,499572,707,DGBR56709874230152,credit
TvjB7560N,304565,694,YDAV26380988759100,Credit
knPc9015i,589671,759,LTQA53596569350367,Debit
ymob9996M,,762,KYDO37135859616940,debit
wqap2356b,802056,789,ZCCV83901844057076,
ZwrZ7991Y,336639,645,APWX47833703338084,
kbhj0273O,1030731,665,LNJR93130194431050,credit
Juab9531s,464165,761,ABLI61990738050453,
iScW2318S,454065,664,WWPJ02220531269827,credit
tHhY6820S,486322,819,AGAA76381227331590,credit
wtHs0930T,1178934,698,IZHZ76114576505761,credit
CWFM7385C,793518,613,FYFB47016741520636,debit
rTvO3982R,994454,636,HALL76364679168509,Debit
xfIk5381F,859385,703,LZXU51379966193728,credit
BriL2382w,789948,607,URDR41355843045541,credit
xxPD1852R,974830,750,XIFZ36179461419490,debit
vvLc6881p,870408,817,MYQA50838816385856,Debit
BUUN0819v,566556,795,CVXG62701849467623,credit
ygRZ4487v,947732,820,OSBC54422428705136,debit
sLVh0488T,957829,846,SCWP27176110582080,credit
iPqs5089A,741379,652,CLJS44244891287147,credit
bCAM4035x,834214,601,FNWW05210366207734,
xvGG5593e,866782,669,CRRS87959306125153,Debit
CCXv0822t,633206,734,SKNA91111532105273,credit
rxKl7777x,618160,837,TYLM82254013258608,Debit
GCjs4123V,1050682,642,SRYT30629517241923,Credit
ENcb9379F,438042,622,LVMP49939309817881,credit
MsJt0455K,639050,836,TOTC73718293403076,Debit
BBim6741R,1227633,846,KFKC39981433180331,Credit
hjvx9567L,370420,649,NAZS15521322410340,
XCBC3502q,586322,652,RZPB69873800286642,debit
hYjX9064j,632114,664,AXMP61475848318830,debit
xmZe7276s,693136,721,XGRQ82971416615227,Debit
gFOd5134d,657118,601,PDZK24241895969656,Debit
JpYs5455w,363289,739,XXGT56994584578586,debit
BZlh5955B,1057726,672,SLTY89424180331279,Debit
YQES8335W,621764,828,LXAK70885635273265,Debit
JYNw6680W,515726,722,SGHH99969553977912,
bGAW0491T,907923,671,SOPT51057882910969,
Efxv0431R,690327,839,UVVA93831924049205,debit
fOTL7852D,770415,743,ZGWP03781169832367,Debit
JycX9336N,825893,794,RPHL10826738991108,Credit
HKHG3160I,808644,662,FZSH12087372031447,Credit
xxYW5010J,712598,677,QVHY24023538627369,Credit
gxnl3911c,338227,745,YPRD29895558472409,credit
cNTm2640R,507446,629,YYJW80118639878700,credit
pFLc3396l,879587,840,BVQX97548249473769,debit
OCHk0388P,663706,730,QTKT56396817971020,
nHts1889C,1124507,742,CBMD62235593954904,Credit
BzpV8167r,811675,720,PWWR39510859286447,credit
tGSf2083l,943392,665,TFKB78649010564015,Debit
sErj4266U,909658,785,IARH70190344012551,credit
qDPJ6440m,919237,714,OFAU24912927728671,credit
ApCM2796Y,600199,670,DPAO82155711890649,credit
ECtr5818N,589176,799,FQHP24413759370464,credit
HCQf9246t,811937,718,CJGK41365526612313,debit
YKNT4693v,354784,668,ZPDV62514310605446,Credit
ZBzt3155P,870145,810,SJCD83647124557532,Debit
ajOy2394Y,568720,747,ROTF60404725807110,Debit
ZyrX9089L,,644,KITZ28012906391568,debit
ehQI6668l,636034,711,SKIX90543597764257,Debit
QXPO2923P,,778,HQFQ07058449470413,Credit
Fild2468o,933961,715,VDOA47375723824056,credit
TJXr7337d,757511,628,KQSC20697995280407,Debit
AFtT6138H,486967,764,NLEB18631783579048,Debit
dqYv5783u,960500,849,WASD41765533268588,Debit
QzPQ9657Y,842037,662,PUOA86732299406469,credit
JRad5786w,,645,UJTX78605607937447,Debit
OVEP5126B,284941,759,TPLD46779585296815,Debit
nAok4494D,740594,612,DKJK28584818824351,credit
qBwm0561q,517712,734,VIGU94335607626788,
sjfR4200G,691013,747,XXCI84903201450179,Credit
Tgxi6747d,812603,811,RWAZ97627141503177,Debit
fKHw3519Q,772167,785,VCMU65413549956528,credit
Ogpo0565u,943169,739,RFVW36752357956974,Credit
fOqm8508l,768277,785,BPHL06207042478665,credit
BATn2987l,467451,666,SHEP25911274587592,debit
innJ7904g,842085,630,KWEE81786862409102,
NeVF0608c,717139,814,XSDC68923319512328,Debit
MfHr0522w,720464,817,CNEY75426804781330,debit
xNMb7496v,550075,692,OTAI28639180098542,Debit
wNNB2702g,877763,722,PVVA99666477672676,Debit
Gmct1435a,777456,619,ADSS69305837192322,
ocBe7751a,759920,785,AEVG33566235465788,Debit
zJLD9221s,602008,731,VGLG89179055616410,Credit
sCpj5371c,1035146,804,IYGX58920993467491,debit
iCsp4319Z,921524,656,SACZ58426699269424,Credit
Awzc1266l,773423,678,ZMTS59935283165731,debit
AwvG3361b,714492,643,JKSQ04087225733204,debit
uvvj6247A,1100231,678,MZSO74403435658433,Debit
zOEV7203d,688473,622,COYD46797480922496,Credit
aawV2751R,550010,617,DFOP13552392630800,Credit
BLau6870D,855729,611,SUQE04822893204884,Credit
SHfy1121D,619252,800,YPXQ68752604838804,debit
xZYm9323K,,798,HRTG68358800229846,
rHsU3305L,989007,695,CPZU60614755619947,Credit
EdCL5165s,1004476,740,IIUK86820484174898,debit
ocjr3218l,746683,735,VGOS71733758299708,Credit
YvOR6468v,879566,738,SUNY33410126975909,Credit
Ucte1902X,607666,737,ENXE88207377380517,Credit
GcXu1548g,684671,645,TJVD45725116696166,
szXx0933U,660007,820,YJGT24590116137965,credit
Wpau3363E,431888,730,IRAX90754010496451,
SdaK5437I,814668,815,WXYH17829498553258,Debit
oCCc4164O,746482,741,NRMA94199464293165,debit
VrCd2170h,639604,800,ADYC65060164780514,Credit
JRZo2592n,1059148,721,TGVZ54382250601191,Debit
PIxy9717H,801151,636,HGQQ69739249951646,
Cxcw1769M,512426,666,LNBF27109581633126,credit
pbWS1739e,984080,743,OGOQ08334983502603,Debit
fXyM0559X,538615,604,FNZI18593075206487,Credit
FLny8331s,,811,OCZN05306394709570,Debit
TqUt7089c,752648,704,DVPC38712661275617,Debit
jVvK6545m,755578,827,ZBAY50757151595922,Credit
yxaK5707q,484965,770,XWLL87058317326780,credit
IPuB6207j,275958,828,VIQZ87490455748024,
QkAb2719W,640870,688,ZWXM81973020626764,Debit
JBGb2611V,666306,807,WJUH49628455490579,Credit
BaLP1093e,476738,700,EHJB42533270536291,credit
JePD9490d,564709,769,QBKA29265778586149,debit
SzQk0327H,500568,704,BAXO43415051884472,credit
DFFY0587d,865269,724,YZUE33778441782650,credit
iSyG1497i,,812,FVJY58228664845048,
BPPX1195V,1053796,704,BTTW97270633668499,Debit
bFCm9646O,409135,740,KOWZ60050350356006,debit
SZKR5956h,1040935,843,DHUV50765647771055,debit
whnx9220z,506225,674,NAAE81443765170329,Debit
UHYQ3974N,564013,775,EAGZ94691664279317,
FwgB2500D,527679,606,HEXE09684359315905,
mxIh4867J,546262,745,XOII17898369788051,credit
qGCs2177F,720529,656,DQCS22505710473430,debit
NNQR7935v,933000,738,ZIPV88626352737510,Credit
pxyM8438L,388450,603,OUSS82751134772499,Debit
wjXc9712f,801397,618,WVTC86531988851652,Credit
qBOK9306h,718552,773,EMFO76743726999753,Debit
KfKA2671L,512366,787,WRIZ48491018534941,Debit
pRcn9335O,775228,646,IGHS20840640674877,
Jncu1387P,471761,710,LNUN71376970730627,Debit
ZVUY6828E,1136802,704,CIML33293823915931,Debit
vlBS5335k,,603,KCNV99251397158384,
XJFq0294E,742154,791,MXTQ06142905609511,Debit
JkzL8112Q,590538,628,ITIH65266157745169,credit
hCoK9345k,450396,787,SYKW08343624977967,Credit
fCPD2293G,398931,729,WAMY90177253016244,
KPrR6503U,720019,654,EBAC04270618191853,
uESQ7505F,621504,667,BGEX83391396259370,credit
tnei7917Q,629859,846,FYFY52653768540025,Credit
nwpG4345S,524117,677,BHDW18840943057579,credit
wcLj1157D,510313,615,WZKL74466344983749,Debit
GcUY2094m,520624,757,GPZX71111741596988,Credit
PwAl6957N,602528,833,GSDD96176117147766,debit
gAIy4339Y,838945,812,JQRP15523989083682,credit
uubz7088K,150679,651,YOII21936595083654,
rZgd4394Y,615538,641,BIJB07159350167616,Credit
FXVL1042E,892798,846,SERX91046515084645,Debit
rLjh4935a,655951,690,QPRL24099967440988,credit
IONA1818N,701366,617,LLZZ06528781382377,credit
WOLp9132x,559151,672,TLVG02041816688601,Credit
tYGO7538e,711105,693,SAUX66432559221259,credit
cmtD1157x,958330,766,JSPQ22294614387017,
sRky6016l,,781,DHOK05965893800609,debit
Akal4554h,808013,607,LAIN14890321279719,Debit
NTSk3546j,671428,634,RZCM81383014712919,credit
FfWC3940p,609539,614,AJJW34406701061600,Credit
ydZN4346v,994198,753,ZUUP43053665557520,
AdYY4700p,962049,607,EDLE29521315842780,debit
CKXw9810g,988810,772,FJSF61250659408079,
eqOW6352V,42784,693,GILD41062966111840,
ksOg1202F,,672,PLXG67076754904373,debit
GcMv5616B,683995,646,IENN21665018838693,debit
rhmn4185R,811658,664,NGAB85801019544723,debit
UZai3665H,,660,HFBU19217509280561,debit
BSWu5915J,841386,629,XARC39182415017390,Debit
QxUE1791J,568993,603,WFLU41362535969733,credit
lVZt2905L,581234,717,OMZA07845914708144,credit
hPRg2219P,679247,615,IHOO76717151068523,credit
MrGh4299s,693590,844,ISIW72750878552838,Debit
nGxS1401T,1037004,626,YUUF79712144928129,
Lhsk6993A,688179,667,IRLV16642909675874,Credit
kTbg5201C,651625,786,WPPI81868290620976,
NGPt4020S,444373,628,STGT96440363509889,credit
GHzz4698x,701765,633,RHEX74724380117042,debit
SIjD9481l,,766,ROON26301665205384,credit
DQuM9136g,536422,714,MCAL78831529225504,Credit
humY6449j,595565,729,HVVP47345352701053,Debit
gmdH1801u,696744,606,NMMU20294077797975,credit
zIXk2315p,502525,791,CXTM14190054948552,debit
TaUi4284j,943169,842,LFKR92277490394553,debit
EfOp4626X,647158,746,GYUK54635030327967,
pWqk2025p,680189,816,LEQL20265696679138,debit
CEyb8670t,478578,722,DRXH20231941007440,Credit
WIFO2939T,519106,641,IBRL62411332891961,Debit
dISF6674F,938529,731,HXOR64836046100667,
PvlY2107s,686376,625,IQUU79015018464410,Credit
ScYx0033e,940254,608,OTAW48555144604250,credit
sZDZ0972i,254897,755,ZGXB88200070572614,
wseB5426V,392527,613,IYDW30864374303445,Credit
lFBW8939U,665187,798,GZFB60980880253002,debit
SloJ3985Q,883705,699,MJRK51430262665296,debit
KmyP1828m,609062,837,CCXQ02497843415430,Debit
HbEV2786c,638682,646,KIWI14771421053719,
DXPo4235f,678002,600,ZTZS72713885104164,credit
Lpef8995U,952400,663,JUXV50114673632123,debit
RfPm6992u,1072576,824,ZWSU50410533217263,Debit
waEP3470a,576595,803,FQIT54445065169301,debit
UJJX7750t,827259,640,ZVKN40343373166187,debit
NYzm9499Y,760118,722,RMCC97943231704512,debit
ATAi5768X,627748,654,EKOW22446170494459,Debit
ZuLw1380e,806571,612,ODAR02142619096865,debit
VwrV9484k,978745,711,NBRR66848439387695,Debit
vgmm2595T,665157,661,IJDX47714434431338,Debit
wsgL0591A,1000738,664,XGQN20547407079957,
bMAF3511t,893310,798,LLRC32387240340100,Debit
ozWw5136U,574597,670,AFHB46515132029477,debit
qeFp9050F,519305,662,OIWK46224021723992,credit
iASF2234G,775427,709,AENI07305887490330,
nOIh7032i,1001922,795,LYQY27136742861223,
YHNP8171U,1188963,638,OFGE17055657118032,debit
RCVR9354V,499149,745,POCT76479120674800,
kCVu5211L,877777,749,HBQP23417461398668,Debit
eftM6373n,550347,610,CIWF83155809546471,Credit
Gzkp3108d,1038216,850,BURW10759875840221,
Rbbp6594I,755973,648,GOLZ90672457817973,credit
TAtJ1803x,738717,789,NIHE53158842123053,Credit
eGjt1002e,672124,749,UDHG13395882504354,debit
CciH4081q,946463,675,RLFL72791210773370,debit
EICP6168Y,480583,738,XWHI44664652352090,Debit
KMKE3214a,882112,629,MMZF44041668478281,Credit
mPtQ3204F,495716,624,CIAK78349904243082,
tigc4334A,640221,768,XGVM28451427075355,Credit
szae5100a,283663,621,DWGW59156861949853,Credit
pvxv4131V,787630,640,HDVX90372388258552,Credit
dUEW7942j,,747,KHGG23436730710430,
BWSD2395i,959188,723,TSNU63829255356134,Credit
THZW1761M,779807,817,TOEW95521760240724,Debit
TJDF8987B,1015097,708,SBTD89207638943265,Debit
nGED7751Q,681537,664,MEGJ46409793185969,debit
IfIK1239o,649993,601,OVPE35737391208427,credit
rGEo9720c,337677,809,VITJ96833712337460,Debit
quvV4519G,757692,719,OFJU20549280278906,
Uorh6817I,816178,633,VPSD98982887597398,
QzXt8079U,658827,823,JAAN67953142900052,Debit
FZuG0315v,1185574,611,BZXD79399335040996,credit
XIOu9391p,879626,766,ZAAH51933330854448,
rtMm6205X,627754,686,NTOU29009849761749,Debit
fRKu3927q,,627,LQAN59215743450625,Credit
uADa0638i,622166,684,VKDD94202057156166,Debit
mDJQ0715r,611030,736,LHOE78415122887506,Credit
RPwU2055v,675786,694,YNNP87352731763582,Credit
WcCW3544H,640566,658,XBVL29312800030130,
SGHI9677Z,1059365,654,BFIC44525118506346,debit
WcVc9221D,648524,817,BQEW10836129590363,
XWNt2040F,608572,616,OCLE75450419789822,debit
zgSC1124x,808451,824,HEZJ48034238642327,Credit
gbSt7804J,1032111,773,YBOK10862112787699,credit
HAqr6671j,885092,681,JBWA83601247984669,credit
FdSq6244K,761554,673,OBUV69601317618624,
hZbh8671G,967985,803,EOKO08800339182394,credit
pkuD7703X,774854,622,ISWR09655244679955,credit
YWbD0443p,807082,745,XKZG08049717747973,
XHKN2466E,850031,664,HFLO37472912248673,debit
OXdq4903Z,857982,838,XXDS07508399986872,debit
CNMV3817G,838240,673,MLAM16900212468436,Debit
zKks9924D,595102,704,IGYN00009452711931,Debit
gRmd0481f,722017,834,DSYA78946798521818,Debit
ipfq8643w,686618,740,VXRW66686593329138,
YhkD6518x,532548,792,XEUE20424320819020,debit
bprp9170W,567301,832,OXUN32454568221546,credit
wyZR7432E,,739,LFPD94212312084561,debit
yiuf4053P,720239,804,CGUA92799590165694,
vqgO2311e,928783,621,UXQS82947387259972,
byaF1902g,,650,LCWN87788482479120,Credit
dYcx3693i,782713,821,BKKJ91786391451201,
kPBY2144C,936563,609,CIFJ31473136057105,Debit
qQiu3538X,645551,626,RWFL28895978389577,Credit
gRuQ6116W,598813,602,XOFX03100018338149,Debit
rVjA9994Y,388923,611,BNXP11539175816347,Credit
unCW1845X,368995,809,GORK88767673397814,credit
HiUP5826N,559588,734,LGTB21205548998042,
rNLQ5081t,686274,657,OKPM82430624030801,credit
mwJx0232L,890728,613,UELD71175144752034,Debit
SnQV3580O,502042,735,ZUMR01363252824172,credit
bvbZ5288F,1050823,847,UNSU51538600716699,debit
fLRO5078C,618377,707,COHB18301012387490,Credit
iwlr3544T,483864,738,REXL79041998162437,credit
qsXr7777K,923477,753,QZKY10023434113636,Debit
ctBs6493Z,445877,770,WTPM31162093427144,
yKIG0060i,572828,744,TKVJ15938033013593,Debit
iVQD6486x,701215,614,GYKG27775457348842,
LoYJ5377w,759206,826,OCBJ57889928648748,Debit
gihb4609q,881699,660,NYKT98300301017390,Credit
qZwU0725m,,704,ESNX05174761936103,Credit
WBdK9601N,596599,652,WSOT49132776453458,credit
bCKj3247z,443664,763,NGOT10318777501173,
smhR2517z,574644,841,YCEL49757215184302,Debit
dPoV0325R,589909,717,RYFI11720817928933,credit
GHqr9439j,535085,607,KDHE25413403705004,debit
jRpB7895f,729145,655,WWEA69113655486295,Credit
AUqv7949Z,,793,CFLZ49436948684768,Credit
wDUG4959h,825011,775,YDHJ28264761216160,credit
FTsR2731U,599849,797,WYRY87339925828455,
oijR2718r,915870,705,YXZV05589739163162,
nzQi0239E,436273,800,CABR08055440813163,Credit
rTbX6176Q,365055,835,OVUR22902200434511,debit
vQxg4046f,571633,623,TQAH32741363147402,Debit
Gfhb2863w,892918,710,NJST49423907087405,
TMkc0228E,629295,639,DFDI55286274674752,credit
kYHT4595i,616091,636,XABS41422259379614,credit
Yrln7677N,,658,VOUB78416223330604,debit
WoOD3543m,968473,686,QQUT76039124894618,
MAXV2783L,882482,747,MLJE02790843931554,
caiy2151a,676527,662,DAPR08301885657703,credit
qmOO7721q,866050,710,CJLP32992297534947,Credit
YvnF8696e,719703,804,SGWG09739072540694,Credit
hbwl5573a,832330,813,AHSG98462584506472,
eJDo8983b,943058,700,WYET30180040164299,debit
NnoD9507C,1110710,639,PZFX02977720660233,debit
Emrf3129V,766072,746,RDRD91343656263675,Debit
XkRS4850D,905131,653,TNDO39245802870847,
jAIT5908b,582660,746,EBYD38809302128959,debit
jlbJ0907P,826128,834,UJAH47120442105027,Credit
HLWr7121w,677884,756,NXMN68178176262605,Debit
KAXc2395i,720931,844,WDCC85925442936241,Credit
ZNXN3315H,,771,DWAA42497031015048,debit
xCYN7517b,595188,760,GXYN44585747781132,debit
JHId3230Y,835568,740,YNTV71475304805457,debit
eDva6094k,659709,726,QKKM23666713327109,debit
dCGO4130I,804576,668,VLUD83999834576344,
SYFu6758v,518531,824,GOWL95037375979598,
vKWg8509t,484929,602,DWKX68803925317071,Credit
